index,name,address,description,latitude,longitude,level
0,프로방스 마을,경기도 파주시 탄현면 새오리로 77,"남프랑스 테마의 마을로 유럽 스타일의 상점, 제과점, 레스토랑, 벽화가 있습니다.",0.0,0.0,5
2,오두산통일전망대,경기도 파주시 탄현면 필승로 369,북한과의 통일에 대한 전시관과 멋진 전망을 볼 수 있는 망원경을 갖춘 전망대가 있습니다.,37.7730931,126.67700974378,5
3,도라전망대,경기도 파주시 장단면 제3땅굴로 310,비무장 지대와 북한이 내려다 보이며 망원경이 비치된 언덕 위의 관측소입니다.,0.0,0.0,5
4,반구정,경기도 파주시 문산읍 사목리 190,",",37.866853,126.7519891,5
5,임진각 평화누리공원,경기도 파주시 문산읍 임진각로 148-40,조경이 잘 된 평화 공원 및 문화 센터로 한반도 통일 관련 전시와 이벤트가 있습니다.,0.0,0.0,5
8,감악산 출렁다리,경기도 파주시 적성면 설마리 48-6,",",37.9379927,126.9460083,5
9,헤이리 예술마을,경기도 파주시 탄현면 헤이리마을길 82-105,"화가, 조각가, 영화 제작자, 도예가 등 380여 명의 예술가가 모인 예술 공동체입니다.",37.788774450000005,126.6991582118668,5
10,벽초지수목원,경기도 파주시 광탄면 부흥로 242,"유럽 및 아시아 테마의 정원이 있는 울창한 공원으로 정자, 연못, 버드나무가 있습니다.",0.0,0.0,5
11,통일공원,경기도 파주시 광탄면 부흥로 242,"유럽 및 아시아 테마의 정원이 있는 울창한 공원으로 정자, 연못, 버드나무가 있습니다.",37.234281,127.19707981788206,5
